Time [sec]	P [hPa]	T [oC]	Ws [m/s]	Wd [o]	Alt [m]	Lon [o]	Lat [o]	Dew [oC]
94	973.1	-0.4	7.8	76	324	-75.096403	38.330397	-0.4
95	972.7	-0.4	7.9	76	327	-75.096490	38.330382	-0.4
96	972.3	-0.4	7.8	76	330	-75.096577	38.330367	-0.4
97	971.9	-0.5	7.8	76	333	-75.096663	38.330352	-0.5
98	971.5	-0.5	7.8	77	336	-75.096750	38.330337	-0.5
99	971.1	-0.5	7.8	77	339	-75.096837	38.330322	-0.5
100	970.8	-0.5	7.8	78	343	-75.096924	38.330307	-0.5
101	970.4	-0.6	7.8	78	346	-75.097011	38.330292	-0.6
102	970.0	-0.6	7.8	79	349	-75.097097	38.330277	-0.6
103	969.5	-0.6	7.8	79	353	-75.097184	38.330262	-0.6
104	969.1	-0.6	7.8	79	356	-75.097271	38.330248	-0.6
105	968.7	-0.6	7.7	79	359	-75.097362	38.330242	-0.6
106	968.2	-0.7	7.7	79	363	-75.097458	38.330247	-0.7
107	967.8	-0.7	7.7	79	367	-75.097554	38.330252	-0.7
108	967.4	-0.7	7.7	79	371	-75.097650	38.330257	-0.7
109	966.9	-0.7	7.7	80	375	-75.097747	38.330262	-0.7
110	966.4	-0.7	7.8	81	379	-75.097843	38.330267	-0.7
111	965.9	-0.8	7.9	82	383	-75.097939	38.330272	-0.8
112	965.4	-0.8	7.9	83	387	-75.098035	38.330277	-0.8
113	965.0	-0.8	7.9	83	391	-75.098131	38.330283	-0.8
114	964.5	-0.8	8.0	84	395	-75.098227	38.330288	-0.8
115	963.9	-0.8	8.0	85	399	-75.098323	38.330293	-0.8
116	963.3	-0.8	8.1	85	403	-75.098419	38.330298	-0.8
117	962.7	-0.9	8.2	86	408	-75.098515	38.330303	-0.9
118	962.2	-0.9	8.2	86	413	-75.098612	38.330308	-0.9
119	961.6	-0.9	8.2	87	418	-75.098708	38.330313	-0.9
120	961.0	-0.9	8.3	88	424	-75.098804	38.330318	-0.9
121	960.4	-0.9	8.4	88	429	-75.098900	38.330323	-0.9
122	959.7	-0.9	8.4	89	434	-75.098996	38.330328	-0.9
123	959.1	-1.0	8.5	90	439	-75.099092	38.330333	-1.0
124	958.5	-1.0	8.5	90	445	-75.099188	38.330338	-1.0
125	957.8	-1.0	8.6	91	450	-75.099284	38.330343	-1.0
126	957.2	-1.0	8.6	92	455	-75.099380	38.330348	-1.0
127	956.6	-1.1	8.7	93	461	-75.099477	38.330354	-1.1
128	955.9	-1.1	8.8	94	466	-75.099573	38.330359	-1.1
129	955.3	-1.1	8.8	94	472	-75.099669	38.330364	-1.1
130	954.6	-1.1	8.8	94	477	-75.099765	38.330369	-1.1
131	954.0	-1.1	8.8	95	482	-75.099861	38.330374	-1.1
132	953.3	-1.1	8.7	95	488	-75.099957	38.330379	-1.1
133	952.8	-1.1	8.7	95	492	-75.100053	38.330384	-1.1
134	952.2	-1.1	8.7	96	497	-75.100149	38.330389	-1.1
135	951.7	-1.1	8.7	97	501	-75.100227	38.330413	-1.1
136	951.2	-1.2	8.7	98	506	-75.100288	38.330454	-1.2
137	950.6	-1.2	8.6	99	510	-75.100350	38.330495	-1.2
138	950.1	-1.2	8.6	99	515	-75.100412	38.330535	-1.2
139	949.5	-1.2	8.5	100	519	-75.100474	38.330576	-1.2
140	949.0	-1.2	8.5	101	524	-75.100536	38.330616	-1.2
141	948.4	-1.2	8.5	102	529	-75.100598	38.330657	-1.2
142	947.9	-1.2	8.4	103	534	-75.100659	38.330697	-1.2
143	947.3	-1.2	8.4	103	538	-75.100721	38.330738	-1.2
144	946.7	-1.2	8.4	104	543	-75.100783	38.330779	-1.2
145	946.2	-1.1	8.4	105	548	-75.100845	38.330819	-1.1
146	945.6	-1.1	8.3	105	553	-75.100907	38.330860	-1.1
147	945.1	-1.1	8.4	106	557	-75.100968	38.330900	-1.1
148	944.5	-1.0	8.2	108	562	-75.101030	38.330941	-1.0
149	944.0	-1.0	8.1	110	566	-75.101092	38.330981	-1.0
150	943.5	-1.0	8.0	112	571	-75.101154	38.331022	-1.0
151	942.9	-1.1	7.9	114	575	-75.101216	38.331062	-1.1
152	942.4	-1.1	7.8	117	580	-75.101277	38.331103	-1.1
153	941.9	-1.1	7.7	119	584	-75.101339	38.331144	-1.1
154	941.4	-1.1	7.7	121	588	-75.101401	38.331184	-1.1
155	940.9	-1.0	7.6	123	593	-75.101463	38.331225	-1.0
156	940.3	-1.0	7.6	124	597	-75.101525	38.331265	-1.0
157	939.9	-1.0	7.6	126	601	-75.101586	38.331306	-1.0
158	939.4	-1.0	7.4	127	606	-75.101648	38.331346	-1.0
159	938.9	-1.0	7.4	129	610	-75.101710	38.331387	-1.0
160	938.4	-1.0	7.4	131	614	-75.101772	38.331428	-1.0
161	937.9	-1.0	7.3	133	618	-75.101834	38.331468	-1.0
162	937.5	-1.0	7.2	136	622	-75.101895	38.331509	-1.0
163	937.0	-0.9	7.1	138	626	-75.101957	38.331549	-0.9
164	936.6	-0.9	7.1	141	629	-75.102019	38.331590	-0.9
165	936.1	-0.9	7.0	143	633	-75.102055	38.331640	-0.9
166	935.7	-1.0	6.9	146	637	-75.102061	38.331700	-1.0
167	935.2	-1.0	6.9	148	641	-75.102068	38.331760	-1.0
168	934.8	-1.0	6.8	150	645	-75.102075	38.331820	-1.0
169	934.3	-1.0	6.8	150	648	-75.102082	38.331880	-1.0
170	933.9	-1.0	6.7	152	652	-75.102088	38.331940	-1.0
171	933.5	-1.0	6.6	153	656	-75.102095	38.332000	-1.0
172	933.0	-1.0	6.6	153	660	-75.102102	38.332061	-1.0
173	932.6	-1.0	6.5	155	663	-75.102108	38.332121	-1.0
174	932.2	-1.1	6.5	156	667	-75.102115	38.332181	-1.1
175	931.7	-1.1	6.4	158	671	-75.102122	38.332241	-1.1
176	931.3	-1.1	6.4	160	675	-75.102129	38.332301	-1.1
177	930.8	-1.1	6.4	161	678	-75.102135	38.332361	-1.1
178	930.4	-1.1	6.4	163	682	-75.102142	38.332421	-1.1
179	930.0	-1.2	6.4	165	686	-75.102149	38.332481	-1.2
180	929.5	-1.2	6.4	167	690	-75.102156	38.332542	-1.2
181	929.1	-1.2	6.4	167	693	-75.102162	38.332602	-1.2
182	928.7	-1.2	6.5	168	697	-75.102169	38.332662	-1.2
183	928.2	-1.2	6.5	169	701	-75.102176	38.332722	-1.2
184	927.8	-1.2	6.5	169	704	-75.102183	38.332782	-1.2
185	927.3	-1.2	6.6	170	708	-75.102189	38.332842	-1.2
186	926.9	-1.2	6.7	170	712	-75.102196	38.332902	-1.2
187	926.5	-1.2	6.7	172	716	-75.102203	38.332962	-1.2
188	926.0	-1.2	6.7	173	720	-75.102209	38.333023	-1.2
189	925.6	-1.2	6.8	174	724	-75.102216	38.333083	-1.2
190	925.2	-1.2	6.8	175	727	-75.102223	38.333143	-1.2
191	924.7	-1.2	6.9	177	731	-75.102230	38.333203	-1.2
192	924.3	-1.2	6.9	178	735	-75.102236	38.333263	-1.2
193	923.9	-1.2	6.9	179	739	-75.102243	38.333323	-1.2
194	923.4	-1.2	6.9	180	742	-75.102250	38.333383	-1.2
195	923.0	-1.2	6.9	180	746	-75.102238	38.333452	-1.2
196	922.6	-1.2	6.9	181	750	-75.102203	38.333532	-1.2
197	922.2	-1.2	6.9	182	753	-75.102167	38.333613	-1.2
198	921.8	-1.1	6.9	183	756	-75.102132	38.333693	-1.1
199	921.4	-1.1	6.9	183	760	-75.102097	38.333773	-1.2
200	921.0	-1.1	7.0	185	763	-75.102062	38.333853	-1.7
201	920.6	-1.0	7.0	186	766	-75.102027	38.333933	-2.1
202	920.2	-1.0	7.2	188	770	-75.101992	38.334013	-2.5
203	919.9	-1.0	7.2	189	773	-75.101957	38.334093	-2.7
204	919.5	-1.0	7.3	191	777	-75.101921	38.334173	-2.4
205	919.1	-1.0	7.4	192	780	-75.101886	38.334253	-2.3
206	918.7	-1.0	7.5	193	783	-75.101851	38.334333	-1.9
207	918.3	-1.0	7.6	194	787	-75.101816	38.334413	-1.3
208	917.9	-0.9	7.7	194	790	-75.101781	38.334494	-1.1
209	917.5	-0.9	7.8	195	793	-75.101746	38.334574	-1.0
210	917.1	-0.8	7.9	195	797	-75.101711	38.334654	-0.9
211	916.7	-0.8	8.0	195	800	-75.101675	38.334734	-0.8
212	916.3	-0.8	8.1	196	804	-75.101640	38.334814	-0.8
213	915.9	-0.7	8.3	197	807	-75.101605	38.334894	-0.7
214	915.5	-0.6	8.5	197	811	-75.101570	38.334974	-0.6
215	915.0	-0.6	8.6	198	815	-75.101535	38.335054	-0.6
216	914.6	-0.6	8.8	199	819	-75.101500	38.335134	-0.6
217	914.2	-0.5	9.0	199	823	-75.101464	38.335214	-0.5
218	913.7	-0.5	9.2	200	827	-75.101429	38.335295	-0.5
219	913.3	-0.5	9.4	201	831	-75.101394	38.335375	-0.5
220	912.8	-0.5	9.5	201	835	-75.101359	38.335455	-0.5
221	912.3	-0.4	9.6	201	839	-75.101324	38.335535	-0.4
222	911.9	-0.4	9.7	202	843	-75.101289	38.335615	-0.4
223	911.5	-0.3	9.8	202	847	-75.101254	38.335695	-0.3
224	911.0	-0.3	9.9	202	851	-75.101218	38.335775	-0.3
225	910.6	-0.3	10.0	202	855	-75.101183	38.335855	-0.3
226	910.1	-0.2	10.2	202	858	-75.101130	38.335973	-0.2
227	909.7	-0.2	10.4	202	862	-75.101076	38.336095	-0.2
228	909.3	-0.2	10.6	202	866	-75.101021	38.336216	-0.2
229	908.8	-0.2	10.8	202	870	-75.100967	38.336338	-0.2
230	908.4	-0.1	11.0	201	873	-75.100913	38.336460	-0.1
231	908.0	-0.1	11.2	201	877	-75.100858	38.336581	-0.1
232	907.6	-0.1	11.4	201	881	-75.100804	38.336703	-0.1
233	907.2	-0.1	11.5	201	884	-75.100749	38.336824	-0.1
234	906.8	-0.1	11.6	201	888	-75.100695	38.336946	-0.1
235	906.4	0.0	11.7	200	892	-75.100640	38.337068	0.0
236	906.0	0.0	11.8	200	895	-75.100586	38.337189	0.0
237	905.6	0.0	11.9	200	898	-75.100531	38.337311	0.0
238	905.2	0.1	12.1	199	902	-75.100477	38.337432	0.1
239	904.8	0.1	12.3	199	905	-75.100422	38.337554	-0.5
240	904.4	0.2	12.5	198	909	-75.100368	38.337676	-0.7
241	904.1	0.3	12.6	198	912	-75.100313	38.337797	-0.7
242	903.7	0.4	12.8	198	915	-75.100259	38.337919	-0.6
243	903.3	0.4	13.0	197	919	-75.100204	38.338040	-0.6
244	902.9	0.5	13.2	197	922	-75.100150	38.338162	-0.5
245	902.5	0.5	13.4	197	926	-75.100095	38.338284	0.0
246	902.1	0.6	13.5	196	929	-75.100041	38.338405	0.5
247	901.7	0.6	13.6	196	933	-75.099986	38.338527	0.6
248	901.3	0.7	13.7	196	936	-75.099932	38.338648	0.7
249	900.9	0.8	13.8	196	940	-75.099877	38.338770	0.8
250	900.5	0.9	13.9	196	944	-75.099823	38.338892	0.9
251	900.1	0.9	14.1	196	947	-75.099768	38.339013	0.9
252	899.7	0.9	14.3	197	951	-75.099714	38.339135	0.9
253	899.2	0.9	14.6	198	955	-75.099659	38.339256	0.9
254	898.7	0.9	14.8	198	959	-75.099605	38.339378	0.9
255	898.3	1.0	15.1	199	963	-75.099550	38.339500	1.0
256	897.8	1.0	15.4	199	967	-75.099496	38.339621	1.0
257	897.3	1.0	15.6	200	971	-75.099377	38.339752	1.0
258	896.9	1.0	15.8	200	976	-75.099253	38.339884	1.0
259	896.2	0.9	16.0	201	982	-75.099129	38.340016	0.9
260	895.5	0.9	16.1	201	988	-75.099005	38.340147	0.9
261	894.9	0.9	16.3	202	994	-75.098881	38.340279	0.9
262	894.2	0.9	16.5	202	1000	-75.098757	38.340411	0.9
263	893.6	0.9	16.7	203	1006	-75.098633	38.340542	0.9
264	892.9	1.0	16.8	204	1012	-75.098508	38.340674	1.0
265	892.3	1.1	17.0	205	1017	-75.098384	38.340806	1.1
266	891.7	1.2	17.2	206	1022	-75.098260	38.340938	1.2
267	891.1	1.4	17.3	207	1028	-75.098136	38.341069	1.4
268	890.5	1.5	17.5	208	1033	-75.098012	38.341201	1.5
269	889.9	1.5	17.7	208	1038	-75.097888	38.341333	1.5
270	889.4	1.5	17.9	209	1044	-75.097764	38.341464	1.5
271	888.7	1.5	17.9	210	1049	-75.097640	38.341596	1.5
272	888.1	1.5	17.9	210	1055	-75.097516	38.341728	1.5
273	887.5	1.4	17.9	211	1061	-75.097392	38.341859	1.4
274	886.9	1.3	17.9	211	1066	-75.097268	38.341991	1.3
275	886.2	1.3	17.9	212	1072	-75.097144	38.342123	1.3
276	885.6	1.3	17.9	212	1078	-75.097020	38.342254	1.3
277	885.0	1.3	18.0	213	1083	-75.096895	38.342386	1.3
278	884.4	1.3	18.0	214	1089	-75.096771	38.342518	1.3
279	883.8	1.2	18.1	215	1095	-75.096647	38.342650	1.2
280	883.2	1.2	18.1	216	1100	-75.096523	38.342781	1.2
281	882.6	1.2	18.2	217	1106	-75.096399	38.342913	1.2
282	882.0	1.2	18.3	218	1111	-75.096275	38.343045	1.2
283	881.4	1.2	18.4	218	1116	-75.096151	38.343176	1.2
284	880.8	1.2	18.4	219	1122	-75.096027	38.343308	1.2
285	880.2	1.3	18.5	220	1127	-75.095903	38.343440	1.3
286	879.6	1.4	18.6	220	1132	-75.095779	38.343571	1.4
287	879.0	1.4	18.6	220	1138	-75.095630	38.343698	1.4
288	878.4	1.5	18.7	221	1143	-75.095448	38.343817	1.5
289	877.8	1.5	18.8	221	1149	-75.095267	38.343937	1.5
290	877.2	1.5	18.9	222	1155	-75.095086	38.344057	1.5
291	876.6	1.5	19.0	223	1160	-75.094904	38.344176	1.5
292	876.0	1.4	19.2	224	1166	-75.094723	38.344296	1.4
293	875.4	1.4	19.3	225	1171	-75.094542	38.344415	1.4
294	874.8	1.3	19.5	225	1176	-75.094360	38.344535	1.3
295	874.3	1.3	19.6	226	1182	-75.094179	38.344655	1.3
296	873.8	1.3	19.8	227	1187	-75.093998	38.344774	1.3
297	873.3	1.2	19.8	227	1192	-75.093816	38.344894	1.2
298	872.8	1.2	20.0	227	1197	-75.093635	38.345013	1.2
299	872.2	1.2	20.0	228	1201	-75.093453	38.345133	1.2
300	871.7	1.2	20.1	228	1205	-75.093272	38.345252	1.2
301	871.3	1.1	20.1	228	1210	-75.093091	38.345372	1.1
302	871.0	1.1	20.3	229	1214	-75.092909	38.345492	1.1
303	870.6	1.1	20.3	229	1218	-75.092728	38.345611	1.1
304	870.2	1.1	20.4	229	1220	-75.092547	38.345731	1.1
305	869.8	1.1	20.5	230	1223	-75.092365	38.345850	1.1
306	869.5	1.1	20.6	230	1226	-75.092184	38.345970	1.1
307	869.2	1.1	20.7	230	1229	-75.092003	38.346089	1.1
308	868.9	1.0	20.8	230	1232	-75.091821	38.346209	1.0
309	868.6	1.0	20.9	231	1234	-75.091640	38.346329	1.0
310	868.3	1.0	21.0	231	1237	-75.091459	38.346448	1.0
311	868.0	1.0	21.0	231	1240	-75.091277	38.346568	1.0
312	867.7	1.0	21.0	231	1242	-75.091096	38.346687	1.0
313	867.3	1.0	21.0	231	1245	-75.090915	38.346807	1.0
314	866.8	0.9	21.0	231	1249	-75.090733	38.346926	0.9
315	866.4	0.9	21.0	231	1253	-75.090552	38.347046	0.9
316	865.9	0.8	21.0	231	1258	-75.090371	38.347166	0.8
317	865.5	0.8	21.0	231	1262	-75.090189	38.347285	0.8
318	865.1	0.8	20.9	231	1267	-75.090012	38.347409	0.8
319	864.6	0.7	20.8	231	1271	-75.089836	38.347533	0.7
320	864.1	0.7	20.8	231	1276	-75.089659	38.347658	0.7
321	863.7	0.6	20.8	231	1280	-75.089483	38.347782	0.6
322	863.2	0.6	20.7	231	1284	-75.089306	38.347906	0.6
323	862.7	0.6	20.7	231	1289	-75.089129	38.348030	0.6
324	862.3	0.6	20.6	231	1293	-75.088953	38.348154	0.6
325	861.8	0.5	20.6	231	1297	-75.088776	38.348279	0.5
326	861.4	0.5	20.5	231	1301	-75.088600	38.348403	0.5
327	860.9	0.5	20.5	230	1306	-75.088423	38.348527	0.5
328	860.5	0.5	20.4	230	1310	-75.088247	38.348651	0.5
329	860.1	0.4	20.3	230	1314	-75.088070	38.348776	0.4
330	859.6	0.4	20.3	230	1318	-75.087893	38.348900	0.4
331	859.2	0.4	20.3	230	1322	-75.087717	38.349024	0.4
332	858.8	0.4	20.2	230	1326	-75.087540	38.349148	0.4
333	858.4	0.4	20.2	230	1330	-75.087364	38.349272	0.4
334	857.9	0.3	20.2	229	1334	-75.087187	38.349397	0.3
335	857.5	0.3	20.1	229	1338	-75.087010	38.349521	0.3
336	857.1	0.3	20.1	229	1342	-75.086834	38.349645	0.3
337	856.7	0.3	20.1	229	1346	-75.086657	38.349769	0.3
338	856.3	0.2	20.2	229	1349	-75.086481	38.349894	0.2
339	855.9	0.2	20.1	229	1353	-75.086304	38.350018	0.2
340	855.4	0.2	20.2	229	1357	-75.086128	38.350142	0.2
341	855.0	0.2	20.2	229	1361	-75.085951	38.350266	0.2
342	854.6	0.2	20.3	229	1365	-75.085774	38.350390	0.2
343	854.2	0.2	20.4	228	1369	-75.085598	38.350515	0.2
344	853.8	0.2	20.5	228	1373	-75.085421	38.350639	0.2
345	853.3	0.2	20.6	228	1377	-75.085245	38.350763	0.2
346	852.9	0.2	20.7	228	1381	-75.085068	38.350887	0.2
347	852.5	0.1	20.8	227	1385	-75.084891	38.351011	0.1
348	852.0	0.1	20.9	227	1389	-75.084704	38.351139	0.1
349	851.6	0.1	21.0	227	1393	-75.084504	38.351272	0.1
350	851.2	0.0	21.1	227	1398	-75.084304	38.351404	0.0
351	850.7	0.0	21.2	227	1402	-75.084103	38.351536	0.0
352	850.3	0.0	21.3	227	1406	-75.083903	38.351668	0.0
353	849.9	0.0	21.4	226	1410	-75.083703	38.351800	0.0
354	849.4	0.0	21.5	226	1414	-75.083503	38.351932	0.0
355	849.1	0.1	21.7	226	1417	-75.083302	38.352065	0.1
356	848.7	0.1	21.8	227	1421	-75.083102	38.352197	0.1
357	848.3	0.1	22.1	227	1424	-75.082902	38.352329	0.1
358	848.0	0.1	22.2	227	1428	-75.082702	38.352461	0.1
359	847.6	0.1	22.5	227	1431	-75.082501	38.352593	0.1
360	847.2	0.1	22.6	228	1435	-75.082301	38.352726	0.1
361	846.9	0.1	22.9	228	1438	-75.082101	38.352858	0.1
362	846.5	0.1	23.0	228	1442	-75.081901	38.352990	0.1
363	846.2	0.1	23.1	228	1445	-75.081701	38.353122	0.1
364	845.9	0.1	23.2	229	1448	-75.081500	38.353254	0.1
365	845.5	0.0	23.3	229	1451	-75.081300	38.353387	0.0
366	845.2	0.0	23.4	229	1454	-75.081100	38.353519	0.0
367	844.9	0.0	23.5	230	1457	-75.080900	38.353651	0.0
368	844.6	0.0	23.5	230	1460	-75.080699	38.353783	0.0
369	844.3	-0.1	23.4	230	1462	-75.080499	38.353915	-0.1
370	844.0	-0.1	23.5	230	1465	-75.080299	38.354048	-0.1
371	843.7	-0.1	23.4	231	1468	-75.080099	38.354180	-0.1
372	843.4	-0.1	23.4	231	1471	-75.079898	38.354312	-0.1
373	843.1	-0.1	23.4	231	1474	-75.079698	38.354444	-0.1
374	842.8	-0.1	23.3	231	1476	-75.079498	38.354576	-0.1
375	842.5	-0.1	23.2	231	1479	-75.079298	38.354708	-0.1
376	842.2	-0.1	23.1	231	1482	-75.079097	38.354841	-0.1
377	841.9	-0.1	22.9	231	1485	-75.078897	38.354973	-0.1
378	841.6	-0.1	22.8	231	1488	-75.078680	38.355104	-0.1
379	841.3	-0.2	22.7	231	1491	-75.078455	38.355234	-0.2
380	840.9	-0.2	22.6	231	1494	-75.078230	38.355365	-0.2
381	840.6	-0.2	22.5	231	1497	-75.078004	38.355495	-0.2
382	840.3	-0.2	22.5	231	1501	-75.077779	38.355626	-0.2
383	839.9	-0.2	22.4	231	1504	-75.077554	38.355756	-0.2
384	839.6	-0.2	22.4	231	1507	-75.077328	38.355887	-0.2
385	839.2	-0.2	22.3	231	1511	-75.077103	38.356017	-0.2
386	838.8	-0.2	22.2	231	1514	-75.076878	38.356148	-0.2
387	838.4	-0.3	22.2	231	1518	-75.076652	38.356278	-0.3
388	838.0	-0.3	22.3	231	1522	-75.076427	38.356409	-0.3
389	837.7	-0.3	22.4	231	1526	-75.076202	38.356539	-0.3
390	837.3	-0.3	22.4	232	1529	-75.075976	38.356670	-0.3
391	836.9	-0.3	22.5	232	1533	-75.075751	38.356800	-0.3
392	836.5	-0.3	22.6	232	1537	-75.075526	38.356931	-0.3
393	836.1	-0.3	22.7	232	1541	-75.075300	38.357061	-0.3
394	835.7	-0.3	22.9	232	1545	-75.075075	38.357192	-0.3
395	835.3	-0.3	23.2	233	1549	-75.074849	38.357322	-0.3
396	834.9	-0.2	23.4	233	1552	-75.074624	38.357453	-0.2
397	834.5	-0.2	23.6	233	1556	-75.074399	38.357583	-0.2
398	834.2	-0.3	23.9	233	1560	-75.074173	38.357713	-0.3
399	833.8	-0.3	24.1	234	1563	-75.073948	38.357844	-0.3
400	833.5	-0.3	24.3	234	1566	-75.073723	38.357974	-0.3
401	833.1	-0.3	24.5	234	1570	-75.073497	38.358105	-0.3
402	832.8	-0.3	24.6	234	1573	-75.073272	38.358235	-0.3
